Provincias,Employment rate
Nacional,"48,81"
Albacete,"48,63"
Alicante,"45,92"
Almeria,"47,09"
Alava,"49,6"
Asturias,"43,41"
Avila,"46,69"
Badajoz,"42,96"
Islas Baleares,"51,08"
Barcelona,"52,97"
Vizcaya,"48,18"
Burgos,"51,65"
Caceres,"43,63"
Cadiz,"41,42"
Cantabria,"47,74"
Castellon,"49,81"
Ciudad Real,"44,94"
Cordoba,"44,16"
La Coruna,"46,83"
Cuenca,"47,87"
Guipuzcua,"53,03"
Gerona,"52,75"
Granada,"41,73"
Guadalajara,"53,78"
Huelva,"39,75"
Huesca,"50,2"
Jaen,"41,46"
Leon,"42,66"
Lerida,"56,05"
Lugo,"47,77"
Madrid,"54,76"
Malaga,"46,34"
Murcia,"49,75"
Navarra,"51,3"
Ourense,"42,35"
Palencia,"49,3"
Las Palmas,"42,31"
Pontevedra,"46,17"
La Rioja,"53,26"
Salamanca,"44,51"
Santa Cruz de Tenerife,"43,62"
Segovia,"55,02"
Sevilla,"44,63"
Soria,"52,52"
Tarragona,"48,85"
Teruel,"50,67"
Toledo,"48,9"
Valencia,"49,41"
Valladolid,"50,31"
Zamora,"44,99"
Zaragoza,"51,38"
Ceuta,"41,07"
Melilla,"49,93"
