Sexo,Provincias,Tasas,Periodo,Total
Ambos sexos,Nacional,Paro,2020T4,"16,13"
Ambos sexos,Nacional,Empleo,2020T4,"48,81"
Ambos sexos,Albacete,Paro,2020T4,"17,44"
Ambos sexos,Albacete,Empleo,2020T4,"48,63"
Ambos sexos,Alicante,Paro,2020T4,"19,41"
Ambos sexos,Alicante,Empleo,2020T4,"45,92"
Ambos sexos,Almeria,Paro,2020T4,"21,15"
Ambos sexos,Almeria,Empleo,2020T4,"47,09"
Ambos sexos,Alava,Paro,2020T4,"9,99"
Ambos sexos,Alava,Empleo,2020T4,"49,60"
Ambos sexos,Asturias,Paro,2020T4,"13,50"
Ambos sexos,Asturias,Empleo,2020T4,"43,41"
Ambos sexos,Avila,Paro,2020T4,"16,06"
Ambos sexos,Avila,Empleo,2020T4,"46,69"
Ambos sexos,Badajoz,Paro,2020T4,"22,91"
Ambos sexos,Badajoz,Empleo,2020T4,"42,96"
Ambos sexos,"Balears, Illes",Paro,2020T4,"17,34"
Ambos sexos,"Balears, Illes",Empleo,2020T4,"51,08"
Ambos sexos,Barcelona,Paro,2020T4,"13,67"
Ambos sexos,Barcelona,Empleo,2020T4,"52,97"
Ambos sexos,Vizcaya,Paro,2020T4,"11,86"
Ambos sexos,Vizcaya,Empleo,2020T4,"48,18"
Ambos sexos,Burgos,Paro,2020T4,"9,40"
Ambos sexos,Burgos,Empleo,2020T4,"51,65"
Ambos sexos,Caceres,Paro,2020T4,"18,52"
Ambos sexos,Caceres,Empleo,2020T4,"43,63"
Ambos sexos,Cadiz,Paro,2020T4,"24,91"
Ambos sexos,Cadiz,Empleo,2020T4,"41,42"
Ambos sexos,Cantabria,Paro,2020T4,"11,79"
Ambos sexos,Cantabria,Empleo,2020T4,"47,74"
Ambos sexos,Castellon,Paro,2020T4,"14,12"
Ambos sexos,Castellon,Empleo,2020T4,"49,81"
Ambos sexos,Ciudad Real,Paro,2020T4,"17,49"
Ambos sexos,Ciudad Real,Empleo,2020T4,"44,94"
Ambos sexos,Cordoba,Paro,2020T4,"23,75"
Ambos sexos,Cordoba,Empleo,2020T4,"44,16"
Ambos sexos,La Coruna,Paro,2020T4,"11,63"
Ambos sexos,La Coruna,Empleo,2020T4,"46,83"
Ambos sexos,Cuenca,Paro,2020T4,"12,73"
Ambos sexos,Cuenca,Empleo,2020T4,"47,87"
Ambos sexos,Guipuzcua,Paro,2020T4,"7,02"
Ambos sexos,Guipuzcua,Empleo,2020T4,"53,03"
Ambos sexos,Gerona,Paro,2020T4,"13,33"
Ambos sexos,Gerona,Empleo,2020T4,"52,75"
Ambos sexos,Granada,Paro,2020T4,"24,84"
Ambos sexos,Granada,Empleo,2020T4,"41,73"
Ambos sexos,Guadalajara,Paro,2020T4,"13,96"
Ambos sexos,Guadalajara,Empleo,2020T4,"53,78"
Ambos sexos,Huelva,Paro,2020T4,"27,16"
Ambos sexos,Huelva,Empleo,2020T4,"39,75"
Ambos sexos,Huesca,Paro,2020T4,"12,46"
Ambos sexos,Huesca,Empleo,2020T4,"50,20"
Ambos sexos,Jaen,Paro,2020T4,"22,75"
Ambos sexos,Jaen,Empleo,2020T4,"41,46"
Ambos sexos,Leon,Paro,2020T4,"12,07"
Ambos sexos,Leon,Empleo,2020T4,"42,66"
Ambos sexos,Lerida,Paro,2020T4,"10,98"
Ambos sexos,Lerida,Empleo,2020T4,"56,05"
Ambos sexos,Lugo,Paro,2020T4,"8,25"
Ambos sexos,Lugo,Empleo,2020T4,"47,77"
Ambos sexos,Madrid,Paro,2020T4,"13,53"
Ambos sexos,Madrid,Empleo,2020T4,"54,76"
Ambos sexos,Malaga,Paro,2020T4,"19,32"
Ambos sexos,Malaga,Empleo,2020T4,"46,34"
Ambos sexos,Murcia,Paro,2020T4,"15,39"
Ambos sexos,Murcia,Empleo,2020T4,"49,75"
Ambos sexos,Navarra,Paro,2020T4,"11,65"
Ambos sexos,Navarra,Empleo,2020T4,"51,30"
Ambos sexos,Ourense,Paro,2020T4,"10,26"
Ambos sexos,Ourense,Empleo,2020T4,"42,35"
Ambos sexos,Palencia,Paro,2020T4,"9,64"
Ambos sexos,Palencia,Empleo,2020T4,"49,30"
Ambos sexos,"Palmas, Las",Paro,2020T4,"25,88"
Ambos sexos,"Palmas, Las",Empleo,2020T4,"42,31"
Ambos sexos,Pontevedra,Paro,2020T4,"13,27"
Ambos sexos,Pontevedra,Empleo,2020T4,"46,17"
Ambos sexos,La Rioja,Paro,2020T4,"10,36"
Ambos sexos,La Rioja,Empleo,2020T4,"53,26"
Ambos sexos,Salamanca,Paro,2020T4,"15,75"
Ambos sexos,Salamanca,Empleo,2020T4,"44,51"
Ambos sexos,Santa Cruz de Tenerife,Paro,2020T4,"24,53"
Ambos sexos,Santa Cruz de Tenerife,Empleo,2020T4,"43,62"
Ambos sexos,Segovia,Paro,2020T4,"8,21"
Ambos sexos,Segovia,Empleo,2020T4,"55,02"
Ambos sexos,Sevilla,Paro,2020T4,"22,44"
Ambos sexos,Sevilla,Empleo,2020T4,"44,63"
Ambos sexos,Soria,Paro,2020T4,"7,67"
Ambos sexos,Soria,Empleo,2020T4,"52,52"
Ambos sexos,Tarragona,Paro,2020T4,"17,47"
Ambos sexos,Tarragona,Empleo,2020T4,"48,85"
Ambos sexos,Teruel,Paro,2020T4,"9,25"
Ambos sexos,Teruel,Empleo,2020T4,"50,67"
Ambos sexos,Toledo,Paro,2020T4,"19,85"
Ambos sexos,Toledo,Empleo,2020T4,"48,90"
Ambos sexos,Valencia/València,Paro,2020T4,"14,65"
Ambos sexos,Valencia/València,Empleo,2020T4,"49,41"
Ambos sexos,Valladolid,Paro,2020T4,"11,35"
Ambos sexos,Valladolid,Empleo,2020T4,"50,31"
Ambos sexos,Zamora,Paro,2020T4,"11,47"
Ambos sexos,Zamora,Empleo,2020T4,"44,99"
Ambos sexos,Zaragoza,Paro,2020T4,"12,92"
Ambos sexos,Zaragoza,Empleo,2020T4,"51,38"
Ambos sexos,Ceuta,Paro,2020T4,"26,74"
Ambos sexos,Ceuta,Empleo,2020T4,"41,07"
Ambos sexos,Melilla,Paro,2020T4,"23,83"
Ambos sexos,Melilla,Empleo,2020T4,"49,93"
